Started At,Completed At,Completion Status,Device Type,Browser,Organization Uuid,Segment,Organizationscountry,Utm Medium,Utm Source,Utm Campaign,1. 1. Wie haben Sie von iZettle gehört?,"2. 2. Wie zufrieden sind Sie insgesamt mit iZettle, auf einer Skala von 1 bis 10?","3. 3. Wie wahrscheinlich ist es, dass Sie iZettle einem Freund oder Kollegen weiterempfehlen werden?","4.1. 4. Auf einer Skala von 1-5, wie zufrieden sind Sie mit: dem Kartenleser","4.2. 4. Auf einer Skala von 1-5, wie zufrieden sind Sie mit: unserer Kommunikation (z.B. betreffend neuer Funktionen, Tipps & Tricks, Updates)","4.3. 4. Auf einer Skala von 1-5, wie zufrieden sind Sie mit: unseren Transaktionsgebühren","4.4. 4. Auf einer Skala von 1-5, wie zufrieden sind Sie mit: dem Transaktionslimit pro Kartenzahlung","4.5. 4. Auf einer Skala von 1-5, wie zufrieden sind Sie mit: dem Quittungsversand an Ihre Kunden","4.6. 4. Auf einer Skala von 1-5, wie zufrieden sind Sie mit: der Annahme von Zahlungen","4.7. 4. Auf einer Skala von 1-5, wie zufrieden sind Sie mit: unseren Überweisungen","4.8. 4. Auf einer Skala von 1-5, wie zufrieden sind Sie mit: unserer Verkaufsübersicht, Excel / PDF Berichte","4.9. 4. Auf einer Skala von 1-5, wie zufrieden sind Sie mit: unserem Kundenservice","4.10. 4. Auf einer Skala von 1-5, wie zufrieden sind Sie mit: der Kompatabilität mit Zubehör (z.B. Drucker, Ständer, Scanner, etc.)","4.11. 4. Auf einer Skala von 1-5, wie zufrieden sind Sie mit: Ihrem Nutzerkonto auf my.iZettle.com","5. 5. Welche der folgenden Produkte, Services bzw. Lösungen für kleine Unternehmen bietet iZettle Ihres Wissens oder Ihrer Meinung an?",,,,,,,,,,,"6. 6. Wir suchen immer nach Wegen, unseren Dienst für unsere Kunden zu verbessern. Bitte teilen Sie uns mit, ob es
etwas gibt, mit dem Sie besonders unzufrieden sind:","7. 7. Wir suchen immer nach Wegen, unseren Dienst für unsere Kunden zu verbessern. Bitte teilen Sie uns mit, ob es eine Funktionalität gibt, die Ihnen bei unserem Dienst derzeit fehlt:"
,,,,,,,,,,,,,,,,,,,,,,,,,Software-Erweiterungen für Treueprogramme und CRM,Tools für das Personalmanagement,Geschäftsfinanzierung,"Hardware-Erweiterungen für Kassensysteme (z. B. Belegdrucker, Barcodescanner)",Kartenleser,Buchhaltungs-Tools,Tools zur Umsatzverfolgung und ‑auswertung,Rechnungsstellung,Point-of-Sale-System,Tools zur Bestandsverwaltung,Keine der genannten,,
2019-04-22 10:06:58 UTC,2019-04-22 10:10:35 UTC,completed,ios,Safari 12.0,fb42dc72-1db5-11e9-85ce-b7b9cd2273dd,3M,DE,email,crm,EU_DE_SRV_ALL_ALL_EML_GFB-Survey3MonthsCheck Version 2,Internetsuche (Google),10,10,5,3,4,4,NA,5,4,4,4,4,4,,,,"Hardware-Erweiterungen für Kassensysteme (z. B. Belegdrucker, Barcodescanner)",Kartenleser,,,Rechnungsstellung,,,,B,Werbung
2019-04-22 16:15:30 UTC,2019-04-22 16:17:24 UTC,completed,mac,Safari 12.0.3,032b34c4-1cc7-11e9-99dd-59029d1ef5ce,3M,DE,email,crm,EU_DE_SRV_ALL_ALL_EML_GFB-Survey3MonthsCheck Version 2,Jemand hat mir iZettle empfohlen,10,10,5,NA,4,5,5,5,5,5,5,5,5,,,,,Kartenleser,,,,,,,Es gibt nichts.,Für mich fehlt nichts.
2019-04-22 19:19:25 UTC,2019-04-22 19:22:50 UTC,completed,ios,Safari 12.0,62ea8f7a-1e86-11e9-95a3-92368e8e674e,3M,DE,email,crm,EU_DE_SRV_ALL_ALL_EML_GFB-Survey3MonthsCheck Version 2,Jemand hat mir iZettle empfohlen,10,10,3,NA,3,NA,5,5,5,NA,5,NA,4,,,,"Hardware-Erweiterungen für Kassensysteme (z. B. Belegdrucker, Barcodescanner)",Kartenleser,Buchhaltungs-Tools,,,,,,Alles ok soweit. Für mich ausreichend,Keine
2019-04-22 19:24:35 UTC,2019-04-22 19:27:02 UTC,completed,mac,Safari 12.0.2,600e0e60-45f8-11e8-9339-2fb58e98db29,3M,DE,email,crm,EU_DE_SRV_ALL_ALL_EML_GFB-SurveyYearlyCheck Version 2, Ich habe etwas mit iZettle bezahlt oder jemand anderen dabei zugesehen,9,10,4,4,3,4,3,5,5,5,5,5,5,,,Geschäftsfinanzierung,,,Buchhaltungs-Tools,,Rechnungsstellung,,Tools zur Bestandsverwaltung,,konkretere Hilfestellung per email als mReaktion auf Nachfragen.,..nein
2019-04-23 04:39:15 UTC,2019-04-23 04:42:51 UTC,completed,ios,Safari 12.0,3730d108-1e51-11e9-bb4d-809db9f82041,3M,DE,email,crm,EU_DE_SRV_ALL_ALL_EML_GFB-Survey3MonthsCheck Version 2,Jemand hat mir iZettle empfohlen,1,1,5,5,3,5,3,5,5,4,4,4,5,,,,,,,,,,,Keine der genannten,Wie klein und nützlich das Gerät ist. Super,Wüsste ich jetzt keine
2019-04-23 05:56:55 UTC,2019-04-23 06:00:49 UTC,completed,ios,Safari 12.1,2f4740d8-1e3f-11e9-9160-a404bce30d42,3M,DE,email,crm,EU_DE_SRV_ALL_ALL_EML_GFB-Survey3MonthsCheck Version 2,Jemand hat mir iZettle empfohlen,9,9,5,5,5,5,5,5,5,5,4,5,5,,,Geschäftsfinanzierung,"Hardware-Erweiterungen für Kassensysteme (z. B. Belegdrucker, Barcodescanner)",Kartenleser,,,Rechnungsstellung,,,,Für mich alles gut,Keıne
2019-04-23 09:15:01 UTC,2019-04-23 09:17:53 UTC,completed,ios,Safari 12.1,da8bb84a-1c99-11e9-ae33-85eb71fae3aa,3M,DE,email,crm,EU_DE_SRV_ALL_ALL_EML_GFB-Survey3MonthsCheck Version 2,Jemand hat mir iZettle empfohlen,9,9,4,4,2,4,3,3,2,3,4,3,4,,,,"Hardware-Erweiterungen für Kassensysteme (z. B. Belegdrucker, Barcodescanner)",Kartenleser,Buchhaltungs-Tools,,,,,,Nein,Nein
2019-04-24 07:53:40 UTC,2019-04-24 08:11:00 UTC,completed,android,Chrome 72.0.3626.105,1f8c5b20-46e4-11e8-b913-471e86724902,3M,DE,email,crm,EU_DE_SRV_ALL_ALL_EML_GFB-SurveyYearlyCheck Version 2,Jemand hat mir iZettle empfohlen,10,10,4,4,4,4,4,4,4,4,4,4,4,,,,,,,,,,,Keine der genannten,Nichts,Keine
2019-04-24 18:32:24 UTC,2019-04-24 18:35:57 UTC,completed,android,Chrome 67.0.3396.87,814aff98-1fe6-11e9-abea-d6694abe946f,3M,DE,email,crm,EU_DE_SRV_ALL_ALL_EML_GFB-Survey3MonthsCheck Version 2,Soziale Medien,8,10,4,5,4,NA,NA,5,5,NA,5,NA,5,,,,,Kartenleser,,,,,,,"Wie hoch ist der transaktionslimit?
Ich wusste nicht, das es sowas gibt",Alles ok
