Started At,Completed At,Completion Status,Device Type,Browser,Organization Uuid,Segment,Organizationscountry,Utm Medium,Utm Source,Utm Campaign,1. 1. ¿Cómo conociste sobre iZettle?,"2. 2. En general, ¿cuál es tu grado de satisfacción con iZettle?",3. 3. ¿Qué tan probable es que recomiendes iZettle a tus amigos o colegas?,"4.1. 4. ¿Podrías indicar, en una escala del 1 al 5, cuál es tu grado de satisfacción con los siguientes aspectos? Atención al cliente","4.2. 4. ¿Podrías indicar, en una escala del 1 al 5, cuál es tu grado de satisfacción con los siguientes aspectos? Informes de ventas","4.3. 4. ¿Podrías indicar, en una escala del 1 al 5, cuál es tu grado de satisfacción con los siguientes aspectos? Importe total que puedes aceptar en cada pago con tarjeta","4.4. 4. ¿Podrías indicar, en una escala del 1 al 5, cuál es tu grado de satisfacción con los siguientes aspectos? Comisiones de pago","4.5. 4. ¿Podrías indicar, en una escala del 1 al 5, cuál es tu grado de satisfacción con los siguientes aspectos? Ofrecerles a tus clientes un recibo","4.6. 4. ¿Podrías indicar, en una escala del 1 al 5, cuál es tu grado de satisfacción con los siguientes aspectos? Lector de tarjetas","4.7. 4. ¿Podrías indicar, en una escala del 1 al 5, cuál es tu grado de satisfacción con los siguientes aspectos? Esfuerzo comunicativo (por ejemplo, sobre nuevas características o versiones de iZettle, consejos y trucos, actualizaciones de la cuenta)","4.8. 4. ¿Podrías indicar, en una escala del 1 al 5, cuál es tu grado de satisfacción con los siguientes aspectos? Depósitos","4.9. 4. ¿Podrías indicar, en una escala del 1 al 5, cuál es tu grado de satisfacción con los siguientes aspectos? Compatibilidad con accesorios (por ejemplo, impresoras, soportes, lectores de códigos de barras, etc.)","4.10. 4. ¿Podrías indicar, en una escala del 1 al 5, cuál es tu grado de satisfacción con los siguientes aspectos? Tu cuenta en my.izettle.com","4.11. 4. ¿Podrías indicar, en una escala del 1 al 5, cuál es tu grado de satisfacción con los siguientes aspectos? Aceptación de pagos","5. 5. Por lo que sabes, ¿cuáles de los siguientes productos, servicios o soluciones puede ofrecer iZettle a los pequeños negocios?",,,,,,,,,,,"6. 6. Siempre intentamos ampliar y mejorar el servicio que ofrecemos a nuestros clientes. Por favor, explica a continuación si hay algo que te disguste especialmente:","7. 7. Siempre intentamos ampliar y mejorar el servicio que ofrecemos a nuestros clientes. Por favor, explica a continuación si echas en falta alguna característica en nuestro servicio:"
,,,,,,,,,,,,,,,,,,,,,,,,,"Complementos para cajas registradoras (por ejemplo, impresora de recibos, lector de códigos de barras, etc.)",Sistema de punto de venta,Programas de fidelización y de gestión de las relaciones con los clientes,Herramientas para gestionar el inventario,Herramientas para controlar y analizar las ventas,Herramientas de administración de personal,Lector de tarjetas,Herramientas de contabilidad,Ninguno de las anteriores,Accounting tools (Deleted),None of the above (Deleted),,
2019-04-24 19:18:15 UTC,2019-04-24 19:23:21 UTC,completed,ios,Safari 12.0,8050ee30-47cf-11e8-ae89-5870b4b7e1e8,3M,ES,email,crm,EU_ES_SRV_ALL_ALL_EML_GFB-SurveyYearlyCheck Version 2,Búsqueda en la web (Google),7,7,3,4,4,4,3,5,4,4,NA,4,4,,Sistema de punto de venta,,,,,,,,,,"Que no se puda hacer depositos en bancos telefonicos de la UE
No se puede con el banco N26 por ejemplo",Depositar en bancos no españoles de la UE
2019-05-06 12:28:39 UTC,2019-05-06 12:31:19 UTC,completed,android,Chrome 63.0.3239.111,9b56fece-248b-11e9-b752-df9a8e2c3f37,3M,ES,email,crm,EU_ES_SRV_ALL_ALL_EML_GFB-Survey3MonthsCheck Version 2,Alguien me lo recomendó,10,10,5,5,5,5,5,5,5,5,5,5,5,"Complementos para cajas registradoras (por ejemplo, impresora de recibos, lector de códigos de barras, etc.)",Sistema de punto de venta,Programas de fidelización y de gestión de las relaciones con los clientes,Herramientas para gestionar el inventario,Herramientas para controlar y analizar las ventas,Herramientas de administración de personal,Lector de tarjetas,Herramientas de contabilidad,,,,Estoy muy sadisfecha,No hecho en falta nada
2019-05-08 07:19:30 UTC,2019-05-08 07:22:29 UTC,completed,ios,Safari 12.1,a7352b96-2a38-11e9-abc6-f4ae44b5dd71,3M,ES,email,crm,EU_ES_SRV_ALL_ALL_EML_GFB-Survey3MonthsCheck Version 2,Ads en la web,9,9,5,5,5,3,5,5,4,4,4,5,5,,,,,,Herramientas de administración de personal,,,,,,Deberían de tener un plan para comercios que no sea hostelería.,Que las tarifa fuera única. Pago mensual en vez del porcentaje
2019-05-09 17:19:37 UTC,2019-05-09 17:21:57 UTC,completed,ios,Safari 12.1,92c8d900-539c-11e8-911c-55761205dd7b,3M,ES,email,crm,EU_ES_SRV_ALL_ALL_EML_GFB-SurveyYearlyCheck Version 2,Alguien me lo recomendó,10,10,NA,5,5,3,4,4,4,3,4,5,4,,,,,,,Lector de tarjetas,Herramientas de contabilidad,,,,Nada,No
2019-05-10 19:39:43 UTC,2019-05-10 19:42:40 UTC,completed,android,Chrome 73.0.3683.90,7bd04fa0-5426-11e8-adcd-bf7d8e357195,3M,ES,email,crm,EU_ES_SRV_ALL_ALL_EML_GFB-SurveyYearlyCheck Version 2,Alguien me lo recomendó,10,10,5,5,5,5,5,5,5,5,NA,5,4,,,,,,,Lector de tarjetas,,Ninguno de las anteriores,,,No he podido usar la app en Francia,Usarlo fuera de españa
2019-05-13 16:53:11 UTC,2019-05-13 16:54:47 UTC,completed,ios,Safari 12.1,fa85c8a0-55ea-11e8-af0d-7c9b4bc2cc02,3M,ES,email,crm,EU_ES_SRV_ALL_ALL_EML_GFB-SurveyYearlyCheck Version 2,Alguien me lo recomendó,10,10,NA,4,4,3,4,4,3,4,NA,4,4,"Complementos para cajas registradoras (por ejemplo, impresora de recibos, lector de códigos de barras, etc.)",,,Herramientas para gestionar el inventario,Herramientas para controlar y analizar las ventas,,Lector de tarjetas,Herramientas de contabilidad,,,,Nada,No
2019-05-21 18:31:23 UTC,2019-05-21 18:34:40 UTC,completed,mac,Firefox 66.0,512874d0-5cd7-11e8-8243-a3f503a7df2f,3M,ES,email,crm,EU_ES_SRV_ALL_ALL_EML_GFB-SurveyYearlyCheck Version 2,Alguien me lo recomendó,10,10,5,5,5,4,5,5,5,5,NA,5,5,"Complementos para cajas registradoras (por ejemplo, impresora de recibos, lector de códigos de barras, etc.)",,,Herramientas para gestionar el inventario,,,Lector de tarjetas,,,,,"Todo muy bien, el sistema es perfecto.",/////
2019-05-26 21:18:11 UTC,2019-05-26 21:29:36 UTC,completed,android,Chrome 74.0.3729.157,f8945148-381a-11e9-bd99-b5c7fcf121b5,3M,ES,email,crm,EU_ES_SRV_ALL_ALL_EML_GFB-Survey3MonthsCheck Version 2,Búsqueda en la web (Google),3,1,3,3,5,1,4,5,1,1,3,3,4,,,,,,,Lector de tarjetas,,,,,Las comisiones son exageradas,No
2019-05-29 17:20:29 UTC,2019-05-29 17:25:31 UTC,completed,ios,Safari 12.1.1,814b3d60-6352-11e8-bdd2-6ecfacf14211,3M,ES,email,crm,EU_ES_SRV_ALL_ALL_EML_GFB-SurveyYearlyCheck Version 2,Alguien me lo recomendó,10,10,NA,5,5,2,2,5,3,5,NA,4,4,"Complementos para cajas registradoras (por ejemplo, impresora de recibos, lector de códigos de barras, etc.)",,Programas de fidelización y de gestión de las relaciones con los clientes,Herramientas para gestionar el inventario,,,,Herramientas de contabilidad,,,,Nada,Todo genial
