Started At,Completed At,Completion Status,Device Type,Browser,Organization Uuid,Segment,Organizationscountry,Utm Medium,Utm Source,Utm Campaign,1. 1. Mitä kautta tutustuit iZettleen?,2. 2. Miten tyytyväinen olet yleisesti iZettleen?,3. 3. Kuinka todennäköisesti suosittelisit iZettle ystävälle tai työtoverille?,"4.1. 4. Miten tyytyväinen olet seuraaviin iZettlen toimintoihin: Viestintä (esimerkiksi uusista iZettlen toiminnoista, vinkit & niksit, tilin päivitykset)",4.2. 4. Miten tyytyväinen olet seuraaviin iZettlen toimintoihin: Tilisi osoitteessa my.izettle.com,"4.3. 4. Miten tyytyväinen olet seuraaviin iZettlen toimintoihin: Yhteensopivuus lisävarusteiden kanssa (esimerkiksi tulostimet, telakat, viivakoodinlukijat jne.)",4.4. 4. Miten tyytyväinen olet seuraaviin iZettlen toimintoihin: Kuitin tarjoaminen asiakkaillesi,4.5. 4. Miten tyytyväinen olet seuraaviin iZettlen toimintoihin: Yksittäisten korttimaksujen maksukatto,"4.6. 4. Miten tyytyväinen olet seuraaviin iZettlen toimintoihin: Asiakaspalvelu
",4.7. 4. Miten tyytyväinen olet seuraaviin iZettlen toimintoihin: Maksujen vastaanottaminen,4.8. 4. Miten tyytyväinen olet seuraaviin iZettlen toimintoihin: Kortinlukija,4.9. 4. Miten tyytyväinen olet seuraaviin iZettlen toimintoihin: Myyntiraportit,4.10. 4. Miten tyytyväinen olet seuraaviin iZettlen toimintoihin: Tapahtumakulut,4.11. 4. Miten tyytyväinen olet seuraaviin iZettlen toimintoihin: Talletukset,"5. 5. Mitä seuraavista tuotteista, palveluista tai ratkaisuista tiedät iZettlen tarjoavan tai mitä seuraavista arvelet iZettlen voivan tarjota pienyrityksille?",,,,,,,,,,,,,,,,,,"6. 6. Pyrimme aina parantamaan palvelua ja kokemusta asiakkaillemme. Pyydämme teitä ystävällisesti kertomaan, mikäli: olette johonkin erityisen tyytymätön.","7. 7. Pyrimme aina parantamaan palvelua ja kokemusta asiakkaillemme. Pyydämme teitä ystävällisesti kertomaan, mikäli: kaipaat palveluumme joitain uusia toimintoja."
,,,,,,,,,,,,,,,,,,,,,,,,,Myynnin seuranta- ja analysointityökalut,Kanta-asiakkuuksien hallinta / CRM-lisäosa,Kortinlukija,Varastonhallintatyökalut,Kassajärjestelmä,Yritysten rahoitus,Kassakoneen lisävarusteet (esim. kuittitulostin ja viivakoodinlukija),Työntekijöiden hallintatyökalut,Kirjanpitotyökalut,Ei mitään näistä,"Obtenir l'accès à du financement (pour l'achat de nouveau matériel, l'ouverture de nouveaux points de vente, etc.) (Deleted)",Gérer les flux de trésorerie (liquidités en matière de coûts et bénéfices) (Deleted),Gérer les aspects marketing (Deleted),Gérer ma présence en ligne (Deleted),Créer des partenariats avec d'autres chefs de petites entreprises (Deleted),Se préparer aux coûts imprévus (Deleted),Autre (préciser) (Deleted),Ei mitään näistä (Deleted),,
2019-04-19 15:25:12 UTC,2019-04-19 15:28:12 UTC,completed,android,Chrome 73.0.3683.90,66a234f0-43b8-11e8-b78e-9286f822bceb,3M,FI,email,crm,EU_FI_SRV_ALL_ALL_EML_GFB-SurveyYearlyCheck Version 2,Sosiaalisen median,9,9,4,3,NA,3,4,NA,4,4,4,2,4,Myynnin seuranta- ja analysointityökalut,,Kortinlukija,Varastonhallintatyökalut,Kassajärjestelmä,,Kassakoneen lisävarusteet (esim. kuittitulostin ja viivakoodinlukija),,,,,,,,,,,,Provikka on aika iso,Nyt ei tule mieleen
2019-04-19 15:30:27 UTC,2019-04-19 15:35:26 UTC,completed,mac,Firefox 66.0,e0f277d0-43f7-11e8-81a2-db8d05de67c5,3M,FI,email,crm,EU_FI_SRV_ALL_ALL_EML_GFB-SurveyYearlyCheck Version 2,Internethaulla (Google),6,7,NA,4,3,4,4,1,4,3,NA,2,4,Myynnin seuranta- ja analysointityökalut,,Kortinlukija,,Kassajärjestelmä,Yritysten rahoitus,Kassakoneen lisävarusteet (esim. kuittitulostin ja viivakoodinlukija),Työntekijöiden hallintatyökalut,,,,,,,,,,,maksutavoista puuttuu laskutus ja lounassetelit,l
2019-04-19 20:23:42 UTC,2019-04-19 20:26:49 UTC,completed,android,Chrome 73.0.3683.90,bae46522-1bc3-11e9-a689-5c76cebdf536,3M,FI,email,crm,EU_FI_SRV_ALL_ALL_EML_GFB-Survey3MonthsCheck Version 2,Joku suositteli iZettleä minulle,7,7,4,4,3,4,3,4,4,3,5,3,3,,,Kortinlukija,,,,,,,,,,,,,,,,Välillä erittäin hidas yhdistämään laiteparin eli kortinlukijan ja puhelimen. Välillä pitää yrittää jopa 5 kertaa että yhdistyy.. Sammuttaa kortinlukija että sovellus puhelimesta ja bluetooth pois päältä.,.
2019-04-20 16:56:14 UTC,2019-04-20 16:57:56 UTC,completed,android,Chrome 73.0.3683.90,ccb27590-44bf-11e8-9cd9-e5fb27746b0d,3M,FI,email,crm,EU_FI_SRV_ALL_ALL_EML_GFB-SurveyYearlyCheck Version 2,Joku suositteli iZettleä minulle,9,9,4,5,NA,3,4,5,5,5,5,4,5,Myynnin seuranta- ja analysointityökalut,,Kortinlukija,,Kassajärjestelmä,,Kassakoneen lisävarusteet (esim. kuittitulostin ja viivakoodinlukija),,,,,,,,,,,,Kaikki ok,Kaikki ok
2019-04-21 17:30:18 UTC,2019-04-21 17:33:02 UTC,completed,ios,Safari 12.0,cc1a8826-1d8a-11e9-b4ff-958a1214d23a,3M,FI,email,crm,EU_FI_SRV_ALL_ALL_EML_GFB-Survey3MonthsCheck Version 2,Joku suositteli iZettleä minulle,9,10,4,4,NA,4,NA,NA,5,5,4,4,5,,Kanta-asiakkuuksien hallinta / CRM-lisäosa,,,Kassajärjestelmä,,Kassakoneen lisävarusteet (esim. kuittitulostin ja viivakoodinlukija),,,,,,,,,,,,Saisi olla yhteensopiva eri ajanvarausjärjestelmien kuten esim Timman kanssa,Yhteensopivuus eri ajanvarausjärjestelmien kanssa
2019-04-21 20:30:37 UTC,2019-04-21 20:34:17 UTC,completed,windows,Chrome 73.0.3683.103,aa990740-4478-11e8-9524-0feba61f36bc,3M,FI,email,crm,EU_FI_SRV_ALL_ALL_EML_GFB-SurveyYearlyCheck Version 2,Joku suositteli iZettleä minulle,9,9,4,4,4,5,4,4,5,5,5,5,5,Myynnin seuranta- ja analysointityökalut,,Kortinlukija,,Kassajärjestelmä,,,,Kirjanpitotyökalut,,,,,,,,,,tyytyväinen,riittävät minulle
2019-04-22 04:13:30 UTC,2019-04-22 04:17:31 UTC,completed,android,Chrome 59.0.3071.125,c81ac566-1d70-11e9-a9c2-170f73e0563d,3M,FI,email,crm,EU_FI_SRV_ALL_ALL_EML_GFB-Survey3MonthsCheck Version 2,Joku suositteli iZettleä minulle,7,7,3,4,3,4,3,3,4,3,4,3,4,,,Kortinlukija,,,,,,,,,,,,,,,,"Välillä ongelmia laitteen yhteyden kanssa. Toinen mitä olen miettinyt, että olisiko joku muu maksupääte edullisempi minun käytössäni pienemmän provision vuoksi.",'-
2019-04-22 15:31:59 UTC,2019-04-22 15:33:43 UTC,completed,android,Chrome 63.0.3239.111,09a92f50-43be-11e8-a6db-9a036521adc8,3M,FI,email,crm,EU_FI_SRV_ALL_ALL_EML_GFB-SurveyYearlyCheck Version 2,Käytin tai näin jonkun käyttävän iZettleä maksamiseen,9,9,5,4,4,4,4,4,4,4,4,4,4,Myynnin seuranta- ja analysointityökalut,,Kortinlukija,,Kassajärjestelmä,,Kassakoneen lisävarusteet (esim. kuittitulostin ja viivakoodinlukija),,,,,,,,,,,,'-,'-
2019-04-22 16:40:34 UTC,2019-04-22 16:43:49 UTC,completed,mac,Firefox 66.0,c7926d18-1e85-11e9-8dd3-f3ea15a58724,3M,FI,email,crm,EU_FI_SRV_ALL_ALL_EML_GFB-Survey3MonthsCheck Version 2,Sosiaalisen median,9,10,NA,5,NA,5,NA,NA,5,4,4,5,5,,,Kortinlukija,Varastonhallintatyökalut,,,Kassakoneen lisävarusteet (esim. kuittitulostin ja viivakoodinlukija),,,,,,,,,,,,Tällä hetkellä olen erittäin tyytyväinen iZettleen.,N/A
