Started At,Completed At,Completion Status,Device Type,Browser,Organization Uuid,Segment,Organizationscountry,Utm Medium,Utm Source,Utm Campaign,1. 1. Hur fick du reda på information om iZettle?,"2. 2. Hur nöjd är du i helhet med iZettle, på en skala 1 till 10?",3. 3. Hur sannolikt är det att du skulle rekommendera iZettle till en vän eller kollega?,"4.1. 4. Ange på en skala från 1 till 5, hur nöjd du är med: Vår kommunikation (t.ex. om nya funktioner, tips och trick, kontouppdateringar)","4.2. 4. Ange på en skala från 1 till 5, hur nöjd du är med: Utbetalningar","4.3. 4. Ange på en skala från 1 till 5, hur nöjd du är med: Kortläsare","4.4. 4. Ange på en skala från 1 till 5, hur nöjd du är med: Att ta betalt","4.5. 4. Ange på en skala från 1 till 5, hur nöjd du är med: Att erbjuda kunder kvitton","4.6. 4. Ange på en skala från 1 till 5, hur nöjd du är med: Kompatibilitet med tillbehör (t.ex. skrivare, ställ, streckkodsläsare osv.)

","4.7. 4. Ange på en skala från 1 till 5, hur nöjd du är med: Kundsupport","4.8. 4. Ange på en skala från 1 till 5, hur nöjd du är med: Det totala beloppet du kan acceptera per kortbetalning","4.9. 4. Ange på en skala från 1 till 5, hur nöjd du är med: Transaktionsavgifter","4.10. 4. Ange på en skala från 1 till 5, hur nöjd du är med: Ditt konto på my.izettle.com","4.11. 4. Ange på en skala från 1 till 5, hur nöjd du är med: Försäljningsrapporter",5. 5. Vilka av följande produkter/tjänster/lösningar tror eller vet du att iZettle kan erbjuda småföretag?,,,,,,,,,,,6. 6. Vi vill alltid utvecklas och förbättra tjänsten för våra kunder. Ange nedan om det finns något du är missnöjd med:,7. 7. Vi vill alltid utvecklas och förbättra tjänsten för våra kunder. Ange nedan om det är någon funktion som du saknar idag:
,,,,,,,,,,,,,,,,,,,,,,,,,Kortläsare,Kassasystem/Point-of-sale system,Lagerhanteringverktyg,Företagsfinansiering,Medarbetarhanteringsverktyg,Kassaregister/Kassatillbehör,Analyseringsverktyg,Bokföringsverktyg/Bokföringstjänst,Kundlojalitetsverktyg (CRM),Faktura,Inget av ovanstående alternativ,,
2019-04-20 04:22:02 UTC,2019-04-20 04:25:49 UTC,completed,ios,Safari 12.0,b22093c0-43d3-11e8-84ae-32e70fb79c92,3M,FI,email,crm,EU_FISV_SRV_ALL_ALL_EML_GFB-SurveyYearlyCheck version 2,Genom rekommendationer från någon,8,8,4,5,5,4,3,3,3,3,2,3,4,Kortläsare,,,,,,,,,,,Som småföretagare skulle det vara bra att i försäljningsrapporten se vem som betalat. Som det är nu ser jag endast hur många inbetalningar som inkommit o hur nycket.,Samma här; se vem som betalat.
2019-04-23 17:09:47 UTC,2019-04-23 17:16:39 UTC,completed,windows,Chrome 73.0.3683.103,33859280-46ef-11e8-b20f-0823255d7c02,3M,FI,email,crm,EU_FISV_SRV_ALL_ALL_EML_GFB-SurveyYearlyCheck version 2,Genom rekommendationer från någon,9,9,4,5,4,4,5,5,4,5,4,4,4,Kortläsare,Kassasystem/Point-of-sale system,Lagerhanteringverktyg,Företagsfinansiering,Medarbetarhanteringsverktyg,Kassaregister/Kassatillbehör,Analyseringsverktyg,Bokföringsverktyg/Bokföringstjänst,Kundlojalitetsverktyg (CRM),Faktura,,Hittills har jag varit nöjd med allt.,Inget jag kommer på nu just åtminstone.
2019-05-06 18:46:28 UTC,2019-05-06 18:52:21 UTC,completed,android,Chrome 73.0.3683.75,fd197cf0-5136-11e8-9812-a39904cde08a,3M,FI,email,crm,EU_FISV_SRV_ALL_ALL_EML_GFB-SurveyYearlyCheck version 2,Via internet (Google),8,7,3,4,2,4,3,4,3,5,2,4,4,Kortläsare,Kassasystem/Point-of-sale system,Lagerhanteringverktyg,Företagsfinansiering,,Kassaregister/Kassatillbehör,,,,,,Transaktionsavgifterna,Nej
2019-05-08 05:34:18 UTC,2019-05-08 05:38:19 UTC,completed,windows,Firefox 66.0,f54b76c0-51c9-11e8-b987-1bd41bd297de,3M,FI,email,crm,EU_FISV_SRV_ALL_ALL_EML_GFB-SurveyYearlyCheck version 2,Sociala medier,10,10,5,5,5,5,5,5,5,5,3,5,5,Kortläsare,,,,,,,,,,,Vi är nöjda,"Lite mera infotext på hemsidan, vi vet tex inte hur vi fixar kortläsarna på skilda bokföringar, då det är en grill och en glasskiosk med olika ekonomi"
2019-05-09 16:54:56 UTC,2019-05-09 16:58:06 UTC,completed,ios,Safari 12.1,71bdcaa0-539b-11e8-84db-40c31bdbe554,3M,FI,email,crm,EU_FISV_SRV_ALL_ALL_EML_GFB-SurveyYearlyCheck version 2,Genom rekommendationer från någon,8,9,4,5,4,4,3,4,4,3,3,4,5,Kortläsare,Kassasystem/Point-of-sale system,,,,Kassaregister/Kassatillbehör,Analyseringsverktyg,,,Faktura,,Inget!,Allt bra!
2019-05-23 11:20:01 UTC,2019-05-23 11:20:55 UTC,completed,windows,Chrome 74.0.3729.157,073450e0-5dab-11e8-b50e-8caf9583462b,3M,FI,email,crm,EU_FISV_SRV_ALL_ALL_EML_GFB-SurveyYearlyCheck version 2,TV,9,9,5,5,5,5,5,5,5,5,5,5,5,Kortläsare,,,,,,,,,,,nej,nej
2019-06-05 17:02:24 UTC,2019-06-05 17:11:44 UTC,completed,windows,Internet Explorer 11.0,4a149ac0-688a-11e8-852a-a5c731b44897,3M,FI,email,crm,EU_FISV_SRV_ALL_ALL_EML_GFB-SurveyYearlyCheck version 2,Genom rekommendationer från någon,9,9,5,5,5,4,5,5,5,5,4,5,5,Kortläsare,Kassasystem/Point-of-sale system,Lagerhanteringverktyg,,,Kassaregister/Kassatillbehör,,,,Faktura,,Ej missnöjd med något som jag kan komma på just nu.,Är nog nöjd som det fungerar idag.
2019-06-18 19:02:54 UTC,2019-06-18 19:27:06 UTC,completed,ios,Safari 12.1.1,c9afa6c0-732b-11e8-bf4b-9143d79d3508,3M,FI,email,crm,EU_FISV_SRV_ALL_ALL_EML_GFB-SurveyYearlyCheck version 2,"Jag betalade någonting med iZettle, eller såg någon betala med iZettle ",6,6,5,5,5,2,4,5,5,5,5,5,5,,,,,,,,,,Faktura,,"Jag är missnöjd pga att faktura alternativet EJ FUNKAR 
Ring om ni vill diskutera 
+358401831811/Daniel Smith",Faktura
2019-06-19 15:25:07 UTC,2019-06-19 15:29:10 UTC,completed,ios,Safari 12.1.1,42236f60-7395-11e8-a6ec-5dd70b702af5,3M,FI,email,crm,EU_FISV_SRV_ALL_ALL_EML_GFB-SurveyYearlyCheck version 2,Genom rekommendationer från någon,10,10,NA,NA,5,5,5,5,5,5,4,5,5,Kortläsare,,,,,,,,,,,Ingenting,Kommer inte på nånting nu
