Started At,Completed At,Completion Status,Device Type,Browser,Organization Uuid,Segment,Organizationscountry,Utm Medium,Utm Source,Utm Campaign,1. 1. Comment avez-vous entendu parler d'iZettle ?,"2. 2. Dans l'ensemble, quel est votre niveau de satisfaction vis-à-vis d'iZettle sur une échelle de 1 à 10 ?",3. 3. Quelle est la probabilité que vous recommandiez iZettle à un ami ou à un collègue ?,"4.1. 4. Pourriez-vous indiquer, sur une échelle de 1 à 5, votre niveau de satisfaction par rapport : Des lecteurs de carte","4.2. 4. Pourriez-vous indiquer, sur une échelle de 1 à 5, votre niveau de satisfaction par rapport : Aux frais de transaction","4.3. 4. Pourriez-vous indiquer, sur une échelle de 1 à 5, votre niveau de satisfaction par rapport : Des rapports d'activité","4.4. 4. Pourriez-vous indiquer, sur une échelle de 1 à 5, votre niveau de satisfaction par rapport : À votre compte sur my.izettle.com","4.5. 4. Pourriez-vous indiquer, sur une échelle de 1 à 5, votre niveau de satisfaction par rapport : Aux virements","4.6. 4. Pourriez-vous indiquer, sur une échelle de 1 à 5, votre niveau de satisfaction par rapport : D'accepter des paiements","4.7. 4. Pourriez-vous indiquer, sur une échelle de 1 à 5, votre niveau de satisfaction par rapport : À notre communication (par ex. à propos de nouvelles fonctionnalités, trucs & astuces, mises à jour)","4.8. 4. Pourriez-vous indiquer, sur une échelle de 1 à 5, votre niveau de satisfaction par rapport : Des reçus pour vos clients","4.9. 4. Pourriez-vous indiquer, sur une échelle de 1 à 5, votre niveau de satisfaction par rapport : Du service client","4.10. 4. Pourriez-vous indiquer, sur une échelle de 1 à 5, votre niveau de satisfaction par rapport : À la compatibilité avec les accessoires (par ex. imprimantes, supports, lecteur de code-barres, etc.)","5. 5. Parmi les produits, services ou solutions ci-dessous, lesquels, à votre avis, iZettle pourrait proposer aux petites entreprises ?",,,,,,,,,,,6. 6. Nous essayons constamment d'agrandir et d'améliorer nos services pour nos utilisateurs. Veuillez expliquer ci-dessous si il y a quelque chose en particulier dont vous n'êtes pas satisfait :,7. 7. Nous essayons constamment d'agrandir et d'améliorer nos services pour nos utilisateurs. Veuillez expliquer ci-dessous si il y a une fonctionnalité qui vous manque dans notre service aujourd'hui :
,,,,,,,,,,,,,,,,,,,,,,,,Outils de gestion des stocks,Outils de suivi et d'analyse des ventes,Fonction de gestion de la fidélisation / CRM,Outils comptables,Outils de gestion du personnel,"Accessoires de caisse (comme une imprimante à reçus, un lecteur de code-barres, etc.)",Facturation,Système de point de vente,Lecteur de carte,Aucune des réponses ci-dessus,None of the above (Deleted),,
2019-04-18 18:59:02 UTC,2019-04-18 19:01:46 UTC,completed,android,Chrome 73.0.3683.90,d7b0e0b2-1afc-11e9-a768-47bbbbaccde1,3M,FR,email,crm,EU_FR_SRV_ALL_ALL_EML_GFB-Survey3MonthsCheck Version 2,Recherche internet (Google),10,10,5,5,5,5,5,5,5,5,5,5,,,,,,,,Système de point de vente,,,,"Énormément satisfait que cela dure
Merci a toute l'équipe et continué",.
2019-04-19 15:28:15 UTC,2019-04-19 15:32:37 UTC,completed,android,Chrome 73.0.3683.90,8a390960-43dc-11e8-9f1f-27f9bce78468,3M,FR,email,crm,EU_FR_SRV_ALL_ALL_EML_GFB-SurveyYearlyCheck Version 2,Recherche internet (Google),10,10,4,4,4,4,4,4,4,4,4,4,,,,,,,,,Lecteur de carte,,,.,....
2019-04-19 19:47:02 UTC,2019-04-19 19:52:32 UTC,completed,android,Chrome 73.0.3683.90,b8799238-1bca-11e9-b50e-fd11c2b2f07f,3M,FR,email,crm,EU_FR_SRV_ALL_ALL_EML_GFB-Survey3MonthsCheck Version 2,Quelqu'un m'a recommandé iZettle,7,7,4,4,4,4,4,4,4,4,3,3,,Outils de suivi et d'analyse des ventes,Fonction de gestion de la fidélisation / CRM,,,"Accessoires de caisse (comme une imprimante à reçus, un lecteur de code-barres, etc.)",Facturation,,Lecteur de carte,,,Méthode de fidélisation pourrait être intéressante il faudrait pouvoir enregistrer le nom des clients,Le lecteur à du mal à se connecter par moment et c'est une vrai perte de temps au moment de l'encaissement et ça ne fait pas très professionnel
2019-04-20 08:17:01 UTC,2019-04-20 08:21:33 UTC,completed,windows,Firefox 52.0,e89ba260-43dc-11e8-b8ab-c6ecd849c41c,3M,FR,email,crm,EU_FR_SRV_ALL_ALL_EML_GFB-SurveyYearlyCheck Version 2,"J'ai utilisé, ou vu quelqu'un utiliser iZettle pour acheter quelque chose",6,7,5,5,5,5,5,5,3,1,3,3,,,,,,"Accessoires de caisse (comme une imprimante à reçus, un lecteur de code-barres, etc.)",,,,,,BEAUCOUP DE CLIENTS NE REÇOIVENT PAS LE REÇU PAR SMS ALORS QU ILS L ONT BIEN REÇU PA 1 ERE FOIS,PRENDRE LES CARTE RESTAURANT
2019-04-20 15:36:41 UTC,2019-04-20 15:40:58 UTC,completed,android,Chrome 73.0.3683.90,f5352520-44cf-11e8-b8c5-af9ff1e7ea39,3M,FR,email,crm,EU_FR_SRV_ALL_ALL_EML_GFB-SurveyYearlyCheck Version 2,Boursorama ,8,8,3,3,3,3,3,3,3,3,3,3,,,Fonction de gestion de la fidélisation / CRM,,,,Facturation,,,,,Paiement en 3 à 4 fois sans frais,Paiement en 3 à 4 fois sans frais
2019-04-20 15:44:08 UTC,2019-04-20 15:47:34 UTC,completed,android,Chrome 71.0.3578.98,566a5930-449b-11e8-8fb1-674f2e31d6af,3M,FR,email,crm,EU_FR_SRV_ALL_ALL_EML_GFB-SurveyYearlyCheck Version 2,Quelqu'un m'a recommandé iZettle,8,8,4,4,4,4,4,4,4,4,4,4,,Outils de suivi et d'analyse des ventes,,Outils comptables,,"Accessoires de caisse (comme une imprimante à reçus, un lecteur de code-barres, etc.)",Facturation,,Lecteur de carte,,,Tout va bien très simple d'utilisation,Non
2019-04-20 16:10:19 UTC,2019-04-20 16:13:54 UTC,completed,android,Firefox 66.0,a5a73460-43aa-11e8-b656-19b6a737e55e,3M,FR,email,crm,EU_FR_SRV_ALL_ALL_EML_GFB-SurveyYearlyCheck Version 2,Publicité sur internet,9,10,5,4,4,4,5,5,4,4,NA,NA,Outils de gestion des stocks,,,,,,,,,,,,
2019-04-20 17:06:56 UTC,2019-04-20 17:11:22 UTC,completed,ios,Safari 12.0,7144c450-4498-11e8-b5ca-d5fa67358242,3M,FR,email,crm,EU_FR_SRV_ALL_ALL_EML_GFB-SurveyYearlyCheck Version 2,Publicité sur internet,10,10,5,5,5,5,5,5,5,5,5,5,,,,,,,,,,Aucune des réponses ci-dessus,,C’est parfait  je ne rate plus aucune vente avec ce système,Non
2019-04-21 05:11:13 UTC,2019-04-21 05:14:12 UTC,completed,android,Chrome 67.0.3396.87,c533dfa0-44e9-11e8-a04f-e160d9031f31,3M,FR,email,crm,EU_FR_SRV_ALL_ALL_EML_GFB-SurveyYearlyCheck Version 2,Publicité sur internet,5,5,4,3,4,3,3,5,3,4,3,3,Outils de gestion des stocks,,,Outils comptables,,,Facturation,,Lecteur de carte,,,P,R
