Started At,Completed At,Completion Status,Device Type,Browser,Organization Uuid,Segment,Organizationscountry,Utm Medium,Utm Source,Utm Campaign,1. 1. How did you find out about iZettle?,"2. 2. Overall, how satisfied are you with iZettle, on a scale from 1 to 10?",3. 3. How likely is it that you would recommend iZettle to a friend or colleague?,"4.1. 4. Could you please indicate, on a scale from 1 to 5, how satisfied you are with: Deposits","4.2. 4. Could you please indicate, on a scale from 1 to 5, how satisfied you are with: The total amount you can accept per card payment","4.3. 4. Could you please indicate, on a scale from 1 to 5, how satisfied you are with: Communication efforts (e.g., about new features iZettle releases, tips & tricks, account updates)","4.4. 4. Could you please indicate, on a scale from 1 to 5, how satisfied you are with: Your account on my.izettle.com","4.5. 4. Could you please indicate, on a scale from 1 to 5, how satisfied you are with: Customer support","4.6. 4. Could you please indicate, on a scale from 1 to 5, how satisfied you are with: Taking payments","4.7. 4. Could you please indicate, on a scale from 1 to 5, how satisfied you are with: Compatibility with accessories (e.g., printers, stands, barcode scanners, etc.)","4.8. 4. Could you please indicate, on a scale from 1 to 5, how satisfied you are with: Transaction fees","4.9. 4. Could you please indicate, on a scale from 1 to 5, how satisfied you are with: Sales reports","4.10. 4. Could you please indicate, on a scale from 1 to 5, how satisfied you are with: Card reader","4.11. 4. Could you please indicate, on a scale from 1 to 5, how satisfied you are with: Offering your customers a receipt","5. 5. Which of the following products, services or solutions do you know or think that iZettle can offer small businesses?",,,,,,,,,,,6. 6. We are always looking to grow and improve the service for our customers. Please explain below if there is anything you are particularly dissatisfied with:,7. 7. We are always looking to grow and improve the service for our customers. Please explain below if there is any functionality in our service that you are missing today:
,,,,,,,,,,,,,,,,,,,,,,,,,"Cash register add-on (for example receipt printer, barcode reader etc.)", Loyalty/CRM add-on,Employee management tools,Card Reader,Invoicing,Point-of-sale system,Tools to track and analyze sales,Business financing,Tools to manage inventory,Accounting tools,None of the above,,
2019-04-08 15:22:54 UTC,2019-04-08 15:38:27 UTC,completed,android,Chrome 63.0.3239.111,ed3b1540-3b43-11e8-9e52-c4f179e5e954,3M,GB,email,crm,EU_GB_CRM-GO-SurveyYearlyCheck,Previous experience ,10,10,4,5,5,5,5,5,NA,5,5,5,5,"Cash register add-on (for example receipt printer, barcode reader etc.)",,Employee management tools,Card Reader,Invoicing,Point-of-sale system,,Business financing,,,,Nothing,"Being able to sort products alphabetically,  adding e.g multibuy options etc"
2019-04-08 18:26:12 UTC,2019-04-08 18:28:09 UTC,completed,android,Chrome 67.0.3396.87,e298ef70-3b31-11e8-95c4-357b74d1114a,3M,GB,email,crm,EU_GB_CRM-GO-SurveyYearlyCheck,Somebody recommended iZettle to me,10,10,5,5,4,5,4,5,NA,5,5,5,5,"Cash register add-on (for example receipt printer, barcode reader etc.)",,,Card Reader,Invoicing,Point-of-sale system,Tools to track and analyze sales,,,,,N/A,N/A
2019-04-08 19:07:43 UTC,2019-04-08 19:10:36 UTC,completed,ios,Safari 12.0,cf951c20-3b48-11e8-8005-10f01ad4e79c,3M,GB,email,crm,EU_GB_CRM-GO-SurveyYearlyCheck,Somebody recommended iZettle to me,8,10,5,5,5,5,4,4,5,2,4,5,5,,,,Card Reader,,,,,,,None of the above,Nothing at present,None at present
2019-04-09 15:30:34 UTC,2019-04-09 15:33:18 UTC,completed,ios,Safari 12.1,5ffc1100-3c08-11e8-a6b5-8bb9feca058e,3M,GB,email,crm,EU_GB_CRM-GO-SurveyYearlyCheck,Internet search (Google),10,10,5,5,4,4,5,5,NA,4,4,5,2,"Cash register add-on (for example receipt printer, barcode reader etc.)",,,Card Reader,Invoicing,Point-of-sale system,,Business financing,Tools to manage inventory,,,Nothing!,None
2019-04-09 21:17:04 UTC,2019-04-09 21:20:13 UTC,completed,windows,Internet Explorer 11.0,fd0ebcc0-3c28-11e8-ae41-1e94bde1a58b,3M,GB,email,crm,EU_GB_CRM-GO-SurveyYearlyCheck,Internet search (Google),9,9,5,NA,4,4,NA,5,NA,3,NA,4,3,"Cash register add-on (for example receipt printer, barcode reader etc.)",,,Card Reader,,Point-of-sale system,,,,,,Lack of phone signal in my area but that's not izettles fault,None
2019-04-10 15:15:22 UTC,2019-04-10 15:19:44 UTC,completed,ios,Safari 10.0,d59d7f00-3bdd-11e8-8e43-fb82b5985a0b,3M,GB,email,crm,EU_GB_CRM-GO-SurveyYearlyCheck,Somebody recommended iZettle to me,8,9,5,5,4,5,5,5,NA,3,5,4,4,,,,Card Reader,Invoicing,,,,,,,Customer database would be very handy,I'm not sure what services you offer
2019-04-10 17:18:15 UTC,2019-04-10 17:21:01 UTC,completed,android,Chrome 72.0.3626.105,e9659030-3cd8-11e8-9f5f-73b6ae979772,3M,GB,email,crm,EU_GB_CRM-GO-SurveyYearlyCheck,Online ads,10,10,5,5,5,5,5,5,NA,4,NA,5,5,"Cash register add-on (for example receipt printer, barcode reader etc.)",,Employee management tools,Card Reader,Invoicing,,Tools to track and analyze sales,,,Accounting tools,,Nothing,None
2019-04-11 12:17:30 UTC,2019-04-11 12:29:05 UTC,completed,windows,Chrome 73.0.3683.86,c6fa1fa0-3bf4-11e8-887a-d92a0fe5bd0e,3M,GB,email,crm,EU_GB_CRM-GO-SurveyYearlyCheck,Internet search (Google),7,7,5,4,3,5,3,4,NA,NA,3,4,2,,,,Card Reader,,,,,,,,unable to take payments over the phone,na
2019-04-11 15:20:46 UTC,2019-04-11 15:26:33 UTC,completed,ios,Safari 12.1,7834cab0-3d6f-11e8-bda5-15d338888347,3M,GB,email,crm,EU_GB_CRM-GO-SurveyYearlyCheck,Somebody recommended iZettle to me,9,9,4,4,4,4,4,4,NA,3,4,4,3,"Cash register add-on (for example receipt printer, barcode reader etc.)",,,,,,,,,,,Cost of additional card readers,Not that springs to mind immediately
