Started At,Completed At,Completion Status,Device Type,Browser,Organization Uuid,Segment,Organizationscountry,Utm Medium,Utm Source,Utm Campaign,1. 1. Come hai scoperto iZettle?,"2. 2. Nel complesso, quanto sei soddisfatto di iZettle, su una scala da 1 a 10?",3. 3. Con quante probabilità consiglieresti iZettle ad un amico o collega?,"4.1. 4. Potresti indicare, su una scala da 1 a 5 quanto sei soddisfatto di: Gli sforzi comunicativi (per es. riguardo l'uscita di nuove funzioni iZettle, consigli e trucchi, aggiornamenti dell'account)","4.2. 4. Potresti indicare, su una scala da 1 a 5 quanto sei soddisfatto di: I versamenti","4.3. 4. Potresti indicare, su una scala da 1 a 5 quanto sei soddisfatto di: Accettare pagamenti","4.4. 4. Potresti indicare, su una scala da 1 a 5 quanto sei soddisfatto di: Il tuo account su my.izettle.com","4.5. 4. Potresti indicare, su una scala da 1 a 5 quanto sei soddisfatto di: Offrire ricevute ai tuoi clienti","4.6. 4. Potresti indicare, su una scala da 1 a 5 quanto sei soddisfatto di: Il lettore di carte","4.7. 4. Potresti indicare, su una scala da 1 a 5 quanto sei soddisfatto di: Le spese delle transazioni","4.8. 4. Potresti indicare, su una scala da 1 a 5 quanto sei soddisfatto di: L'importo totale che puoi accettare per ogni pagamento con carta","4.9. 4. Potresti indicare, su una scala da 1 a 5 quanto sei soddisfatto di: La compatibilità con gli accessori (per es. stampanti, basi, scanner di codici e barre, ecc.)","4.10. 4. Potresti indicare, su una scala da 1 a 5 quanto sei soddisfatto di: I rapporti di vendita","4.11. 4. Potresti indicare, su una scala da 1 a 5 quanto sei soddisfatto di: L'assistenza al cliente","5. 5. Quali dei seguenti prodotti, servizi o soluzioni conosci già o ritieni che iZettle debba offrire alle piccole imprese?",,,,,,,,,,,"6. 6. Cerchiamo continuamente di crescere e migliorare il servizio che offriamo ai nostri clienti. Per favore, spiegaci in basso se c'è qualcosa in particolare che non ti soddisfa:","7. 7. Cerchiamo continuamente di crescere e migliorare il servizio che offriamo ai nostri clienti. Per favore, spiegaci in basso se secondo te manca qualche funzione importante nel nostro servizio:"
,,,,,,,,,,,,,,,,,,,,,,,,,"Accessori aggiuntivi al registratore di cassa (ad esempio stampante di ricevute, lettore di codici a barre, ecc.)",Strumenti di gestione staff,Strumenti per la gestione delle scorte,Strumenti di monitoraggio e analisi delle vendite,Fidelizzazione/soluzione CRM,App per la gestione delle vendite, Lettore di carte,Strumenti di contabilità,Nessuna delle opzioni di cui sopra,Accounting tools (Deleted),None of the above (Deleted),,
2019-04-19 20:47:18 UTC,2019-04-19 20:53:16 UTC,completed,android,Chrome 73.0.3683.90,456b49b0-43b9-11e8-aa20-79acf8e7e949,3M,IT,email,crm,EU_IT_SRV_ALL_ALL_EML_GFB-SurveyYearlyCheck Version 2,Pubblicità online,6,5,3,2,2,NA,3,3,3,3,3,3,4,"Accessori aggiuntivi al registratore di cassa (ad esempio stampante di ricevute, lettore di codici a barre, ecc.)",Strumenti di gestione staff,,,,, Lettore di carte,,,,,Commissione alta,Va bene e la comissione alta
2019-05-21 20:03:35 UTC,2019-05-21 20:07:02 UTC,completed,ios,Safari 12.1.1,8ed8d560-5cf8-11e8-9cf3-c7a7c3334983,3M,IT,email,crm,EU_IT_SRV_ALL_ALL_EML_GFB-SurveyYearlyCheck Version 2,Ricerca su internet (Google),10,10,4,5,5,4,4,5,3,5,3,5,5,"Accessori aggiuntivi al registratore di cassa (ad esempio stampante di ricevute, lettore di codici a barre, ecc.)",,Strumenti per la gestione delle scorte,Strumenti di monitoraggio e analisi delle vendite,,App per la gestione delle vendite,,,,,,Avere la possibilità di sostituire il registratore di cassa con Izittle come succede con square,Registratore di cassa fiscale e un kit completo
2019-05-22 14:45:34 UTC,2019-05-22 14:47:47 UTC,completed,android,Chrome 67.0.3396.87,cdb573d6-35b2-11e9-8c10-4c917d9c8b52,3M,IT,email,crm,EU_IT_SRV_ALL_ALL_EML_GFB-Survey3MonthsCheck Version 2,Pubblicità online,10,9,5,5,5,5,NA,5,2,5,3,5,5,"Accessori aggiuntivi al registratore di cassa (ad esempio stampante di ricevute, lettore di codici a barre, ecc.)",,,,,,,,,,,"Servizio ok , solo si potrebbe rendere piu conveniente il costo di transazione.",Tutto ottimo
2019-05-25 16:22:30 UTC,2019-05-25 16:30:17 UTC,completed,windows,Chrome 74.0.3729.169,b1ab128a-3833-11e9-8f3c-056fb78dc8de,3M,IT,email,crm,EU_IT_SRV_ALL_ALL_EML_GFB-Survey3MonthsCheck Version 2,Ricerca su internet (Google),8,8,4,4,4,4,4,4,4,4,NA,5,NA,"Accessori aggiuntivi al registratore di cassa (ad esempio stampante di ricevute, lettore di codici a barre, ecc.)",Strumenti di gestione staff,Strumenti per la gestione delle scorte,Strumenti di monitoraggio e analisi delle vendite,,App per la gestione delle vendite, Lettore di carte,Strumenti di contabilità,,,,globalmente ok,"Non so se non riesco ad usarla io o se proprio non lo fa, ma l'app dovrebbe aggiornare il magazzino acquisendo i soli codici a barre senza dover selezionare ""gestione del magazzino"" per ogni codice a barre acquisito. Per il resto funziona bene. Magari un'integrazione del magazzino con CMS tipo Prestashop non sarebbe male."
2019-06-18 16:30:40 UTC,2019-06-18 17:47:50 UTC,completed,windows,Firefox 67.0,64bf8bfe-4af8-11e9-8cba-4cf3e1b29760,3M,IT,email,crm,EU_IT_SRV_ALL_ALL_EML_GFB-Survey3MonthsCheck Version 2,Ricerca su internet (Google),8,8,5,5,5,5,3,5,2,5,5,5,5,"Accessori aggiuntivi al registratore di cassa (ad esempio stampante di ricevute, lettore di codici a barre, ecc.)",,,,,,,,,,,si dovrebbe abbassare la percentuale di compenso,nessuna
2019-06-27 06:07:13 UTC,2019-06-27 06:15:27 UTC,completed,windows,Chrome 75.0.3770.100,4773cc10-793c-11e8-b6d6-35510ea02f3a,3M,IT,email,crm,EU_IT_SRV_ALL_ALL_EML_GFB-SurveyYearlyCheck Version 2,Ricerca su internet (Google),8,8,4,4,5,4,5,4,4,5,2,4,4,"Accessori aggiuntivi al registratore di cassa (ad esempio stampante di ricevute, lettore di codici a barre, ecc.)",,,,,,,,,,,"funziona bene solo con ios , dovreste far lavorare anche con android",no
2019-08-12 16:31:52 UTC,2019-08-12 16:33:21 UTC,completed,windows,Chrome 76.0.3809.100,57c708bc-766a-11e9-bdd3-c65e45f33e93,3M,IT,email,crm,EU_IT_SRV_ALL_ALL_EML_GFB-Survey3MonthsCheck Version 2,Ricerca su internet (Google),9,10,2,5,5,4,5,5,4,5,NA,5,5,"Accessori aggiuntivi al registratore di cassa (ad esempio stampante di ricevute, lettore di codici a barre, ecc.)",,,,,, Lettore di carte,,,,,Nulla,NO
2019-08-13 10:34:10 UTC,2019-08-13 10:41:29 UTC,completed,mac,Firefox 68.0,b2873810-9e18-11e8-9e51-2c7a1032f339,3M,IT,email,crm,EU_IT_SRV_ALL_ALL_EML_GFB-SurveyYearlyCheck Version 2,Ho pagato qualcosa con iZettle o ho visto qualcun altro usarlo,9,9,4,4,5,5,5,5,3,5,3,4,5,,Strumenti di gestione staff,,Strumenti di monitoraggio e analisi delle vendite,,,,Strumenti di contabilità,,,,LA PRECISIONE IN VIRGOLA MOBILE DEL CALCOLO DELLA COMMISSIONE E IL VERSAMENTO CUMULATIVO NEL FINE SETTIMANA DI PIU' GIORNI SENZA SEPARARE LE GIORNATE.,LA GESTIONE DEI CLIENTI TRAMITE LA LORO MAIL E DEL NR. DI CELLULARE PER POTER AVERE UNA MAILING LIST E CONTATTARE I CLIENTI VIA SMS.
2019-08-20 16:48:04 UTC,2019-08-20 16:56:46 UTC,completed,android,Chrome 76.0.3809.111,2d97f9de-7cc8-11e9-a794-c1ec91f172f6,3M,IT,email,crm,EU_IT_SRV_ALL_ALL_EML_GFB-Survey3MonthsCheck Version 2,Qualcuno mi ha raccomandato iZettle,10,10,5,5,5,5,5,5,5,5,5,1,5,,,,,,,,,Nessuna delle opzioni di cui sopra,,,Nulla ...tutto  funziona  benissimo,Nulla
2019-08-26 10:26:04 UTC,2019-08-26 10:28:22 UTC,completed,windows,Chrome 76.0.3809.100,369bd2e0-a789-11e8-9135-6c31a1adc2cb,3M,IT,email,crm,EU_IT_SRV_ALL_ALL_EML_GFB-SurveyYearlyCheck Version 2,Qualcuno mi ha raccomandato iZettle,8,8,5,5,5,5,5,5,3,5,5,5,5,,,,,,App per la gestione delle vendite,,,,,,Commissioni leggermente più alte rispetto ad altri competitor,No
2019-08-28 14:37:44 UTC,2019-08-28 14:41:57 UTC,completed,android,Chrome 76.0.3809.132,2680ecea-82cd-11e9-a249-5e326577bc3d,3M,IT,email,crm,EU_IT_SRV_ALL_ALL_EML_GFB-Survey3MonthsCheck Version 2,Ricerca su internet (Google),4,3,3,5,1,4,3,1,5,5,NA,4,3,"Accessori aggiuntivi al registratore di cassa (ad esempio stampante di ricevute, lettore di codici a barre, ecc.)",,,,,,,Strumenti di contabilità,,,,"Ho spesso problemi a connettere il dispositivo allo smartphone, con l'allungamento dei tempi di pagamento. Spesso il cliente deve aspettare diversi minuti prima di poter pagare proprio a causa della lentezza della connessione tra smartphone e dispositivo iZettle",Non mi viene in mente nulla
2019-08-28 16:34:47 UTC,2019-08-28 16:40:59 UTC,completed,windows,Chrome 76.0.3809.100,9bea26ae-82f0-11e9-9b71-f3bf1787a9af,3M,IT,email,crm,EU_IT_SRV_ALL_ALL_EML_GFB-Survey3MonthsCheck Version 2,Social media,10,10,5,5,5,5,5,5,4,5,NA,5,NA,"Accessori aggiuntivi al registratore di cassa (ad esempio stampante di ricevute, lettore di codici a barre, ecc.)",,,,,,,,,,,"PIÙ CHE SODDISFATTO ,",SODDISFATTO
2019-08-31 09:31:42 UTC,2019-08-31 14:43:05 UTC,completed,windows,Chrome 76.0.3809.100,4ef494d0-ac6b-11e8-b5fe-b45180754203,3M,IT,email,crm,EU_IT_SRV_ALL_ALL_EML_GFB-SurveyYearlyCheck Version 2,Ricerca su internet (Google),9,8,3,3,5,4,4,5,3,4,NA,5,3,"Accessori aggiuntivi al registratore di cassa (ad esempio stampante di ricevute, lettore di codici a barre, ecc.)",,,Strumenti di monitoraggio e analisi delle vendite,,App per la gestione delle vendite,,Strumenti di contabilità,,,,"Si potrebbe provare a migliorare i tempi di ricezione degli accrediti, cercando di velocizzarli. Alcuni arrivano rapidamente, altri no. 
Mi piacerebbe se iZettle per i suoi clienti desse la possibilità di avere software gestionali dedicati.","Niente di particolare, magari solo qualche funzione in più nell'applicazione (statistiche, report vari)"
2019-09-12 17:48:28 UTC,2019-09-12 17:58:38 UTC,completed,mac,Chrome 76.0.3809.132,e6f2dbc0-b698-11e8-bb15-5e36e767713c,3M,IT,email,crm,EU_IT_SRV_ALL_ALL_EML_SRV-Survey-Yearly-Check A,Ricerca su internet (Google),10,10,4,4,5,5,5,5,3,4,NA,5,5,,,,Strumenti di monitoraggio e analisi delle vendite,Fidelizzazione/soluzione CRM,,,,,,,Al momento sono soddisfatta dei servizi offerti da IZETTLE,Al momento non mi viene in mente nulla che possa mancare
2019-09-16 14:26:36 UTC,2019-09-16 14:50:41 UTC,completed,windows,Chrome 76.0.3809.132,2e95ff40-b840-11e8-94d4-4e239a0c7102,3M,IT,email,crm,EU_IT_SRV_ALL_ALL_EML_SRV-Survey-Yearly-Check A,Ricerca su internet (Google),7,7,4,5,5,4,4,4,2,4,4,4,4,,,,,,, Lettore di carte,,,,,"In generale è tutto ok.
Le spese delle transazioni potrebbero essere più basse",in generale è ok
2019-09-17 15:13:55 UTC,2019-09-17 15:17:35 UTC,completed,windows,Chrome 76.0.3809.132,570076ba-92ae-11e9-b34f-eaf0efe90bcf,3M,IT,email,crm,EU_IT_SRV_ALL_ALL_EML_SRV-Survey-3-Months-Check A,Pubblicità online,9,10,5,5,5,5,5,5,2,4,5,5,5,,,,,,App per la gestione delle vendite, Lettore di carte,,,,,"In generale il servizio è molto soddisfacente. Puntuale nei versamenti e ottimo il panel internet. Il costo delle transazioni è eccessivo, la percentuale andrebbe ridotta sotto il 2%",No...non manca nulla
2019-09-20 17:17:08 UTC,2019-09-20 17:20:26 UTC,completed,android,Chrome 71.0.3578.99,67fd55a0-bcad-11e8-b0c1-969edac27056,3M,IT,email,crm,EU_IT_SRV_ALL_ALL_EML_SRV-Survey-Yearly-Check A,Ricerca su internet (Google),10,10,5,4,4,4,5,5,4,4,4,4,5,,,,,Fidelizzazione/soluzione CRM,,,,,,,"G day
For the Moment everything it is fine",Fidelizzare  il cliente
2019-09-20 19:19:47 UTC,2019-09-20 19:21:20 UTC,completed,android,Chrome 71.0.3578.99,f65b2560-bcae-11e8-b527-3def4ea45507,3M,IT,email,crm,EU_IT_SRV_ALL_ALL_EML_SRV-Survey-Yearly-Check A,Ricerca su internet (Google),8,9,4,5,5,3,4,4,4,5,4,5,NA,"Accessori aggiuntivi al registratore di cassa (ad esempio stampante di ricevute, lettore di codici a barre, ecc.)",,,Strumenti di monitoraggio e analisi delle vendite,,App per la gestione delle vendite,,,,,,Nulla di particolare,Nulla di particolare
