Started At,Completed At,Completion Status,Device Type,Browser,Organization Uuid,Segment,Organizationscountry,Utm Medium,Utm Source,Utm Campaign,1. 1. ¿Cómo conociste sobre iZettle?,"2. 2. En general, ¿cuál es tu grado de satisfacción con iZettle?",3. 3. ¿Qué tan probable es que recomiendes iZettle a tus amigos o colegas?,"4.1. 4. ¿Podrías indicar, en una escala del 1 al 5, cuál es tu grado de satisfacción con los siguientes aspectos? Atención al cliente","4.2. 4. ¿Podrías indicar, en una escala del 1 al 5, cuál es tu grado de satisfacción con los siguientes aspectos? Informes de ventas","4.3. 4. ¿Podrías indicar, en una escala del 1 al 5, cuál es tu grado de satisfacción con los siguientes aspectos? Importe total que puedes aceptar en cada pago con tarjeta","4.4. 4. ¿Podrías indicar, en una escala del 1 al 5, cuál es tu grado de satisfacción con los siguientes aspectos? Comisiones de pago","4.5. 4. ¿Podrías indicar, en una escala del 1 al 5, cuál es tu grado de satisfacción con los siguientes aspectos? Ofrecerles a tus clientes un recibo","4.6. 4. ¿Podrías indicar, en una escala del 1 al 5, cuál es tu grado de satisfacción con los siguientes aspectos? Lector de tarjetas","4.7. 4. ¿Podrías indicar, en una escala del 1 al 5, cuál es tu grado de satisfacción con los siguientes aspectos? Esfuerzo comunicativo (por ejemplo, sobre nuevas características o versiones de iZettle, consejos y trucos, actualizaciones de la cuenta)","4.8. 4. ¿Podrías indicar, en una escala del 1 al 5, cuál es tu grado de satisfacción con los siguientes aspectos? Depósitos","4.9. 4. ¿Podrías indicar, en una escala del 1 al 5, cuál es tu grado de satisfacción con los siguientes aspectos? Compatibilidad con accesorios (por ejemplo, impresoras, soportes, lectores de códigos de barras, etc.)","4.10. 4. ¿Podrías indicar, en una escala del 1 al 5, cuál es tu grado de satisfacción con los siguientes aspectos? Tu cuenta en my.izettle.com","4.11. 4. ¿Podrías indicar, en una escala del 1 al 5, cuál es tu grado de satisfacción con los siguientes aspectos? Aceptación de pagos","5. 5. Por lo que sabes, ¿cuáles de los siguientes productos, servicios o soluciones puede ofrecer iZettle a los pequeños negocios?",,,,,,,,,"6. 6. Siempre intentamos ampliar y mejorar el servicio que ofrecemos a nuestros clientes. Por favor, explica a continuación si hay algo que te disguste especialmente:","7. 7. Siempre intentamos ampliar y mejorar el servicio que ofrecemos a nuestros clientes. Por favor, explica a continuación si echas en falta alguna característica en nuestro servicio:"
,,,,,,,,,,,,,,,,,,,,,,,,,"Complementos para cajas registradoras (por ejemplo, impresora de recibos, lector de códigos de barras, etc.)",Sistema de punto de venta,Programas de fidelización y de gestión de las relaciones con los clientes,Herramientas para gestionar el inventario,Herramientas para controlar y analizar las ventas,Herramientas de administración de personal,Lector de tarjetas,Herramientas de contabilidad,Ninguno de las anteriores,,
2019-04-18 17:19:41 UTC,2019-04-18 17:24:21 UTC,completed,android,Chrome 67.0.3396.87,b390e780-4321-11e8-ac11-db221b471ca8,3M,MX,email,crm,LAT_MX_SRV_ALL_ALL_EML_GFB-SurveyYearlyCheck Version 2,Ads en la web,7,7,3,4,1,1,4,5,4,4,4,4,4,,,,,,,Lector de tarjetas,,,El limite de crédito y comisiones,Pagar al dia siguiente
2019-04-18 17:28:01 UTC,2019-04-18 17:31:18 UTC,completed,android,Chrome 67.0.3396.87,7b2a6ee0-4360-11e8-b3d1-17fbd6c2a074,3M,MX,email,crm,LAT_MX_SRV_ALL_ALL_EML_GFB-SurveyYearlyCheck Version 2,Búsqueda en la web (Google),8,8,4,4,4,4,2,4,3,4,2,4,4,,,,,,,Lector de tarjetas,,,la poca gaita de compatibilidad con las impresoras de ticket los clientes solicitan su recibo  fisico,más compatibilidad
2019-04-18 22:21:21 UTC,2019-04-18 22:24:31 UTC,completed,windows,Firefox 66.0,fb043970-42fc-11e8-8d14-bd9e09266e39,3M,MX,email,crm,LAT_MX_SRV_ALL_ALL_EML_GFB-SurveyYearlyCheck Version 2,Búsqueda en la web (Google),8,9,4,5,3,3,4,5,2,5,4,5,4,"Complementos para cajas registradoras (por ejemplo, impresora de recibos, lector de códigos de barras, etc.)",Sistema de punto de venta,Programas de fidelización y de gestión de las relaciones con los clientes,,,,,,,Me gustaria que se tuviera en cuenta a los usuarios de la version Pro a la hora de las comisiones o bajar la comision o bajar la mensualidad de la version Pro,Un corte de caja mas claro
2019-04-19 13:51:28 UTC,2019-04-19 13:55:19 UTC,completed,android,Chrome 73.0.3683.90,242776b4-1c00-11e9-a1e0-1c47392bbf92,3M,MX,email,crm,LAT_MX_SRV_ALL_ALL_EML_GFB-Survey3MonthsCheck Version 2,Yo pagué algo con iZettle o vi a alguien hacerlo,9,9,5,5,5,1,5,5,5,5,5,5,5,"Complementos para cajas registradoras (por ejemplo, impresora de recibos, lector de códigos de barras, etc.)",,,,Herramientas para controlar y analizar las ventas,,,Herramientas de contabilidad,,Nads,No
2019-04-19 18:31:51 UTC,2019-04-19 18:36:09 UTC,completed,android,Chrome 73.0.3683.90,3df28020-43e3-11e8-9427-b1a8515ddb0e,3M,MX,email,crm,LAT_MX_SRV_ALL_ALL_EML_GFB-SurveyYearlyCheck Version 2,Alguien me lo recomendó,9,9,5,5,4,4,4,4,3,3,3,4,4,,,,,,Herramientas de administración de personal,Lector de tarjetas,,,K quieran cambiar  la terminsl y tiene un costo,Ninguns
2019-04-19 19:28:34 UTC,2019-04-19 19:33:43 UTC,completed,ios,Safari 12.1,dedcb7c2-1b87-11e9-a2f7-89caa8df0d30,3M,MX,email,crm,LAT_MX_SRV_ALL_ALL_EML_GFB-Survey3MonthsCheck Version 2,Alguien me lo recomendó,10,10,5,5,5,5,5,5,5,5,5,5,5,,,,,,,Lector de tarjetas,,,"Hasta ahora todo el servicio es muy completo, gracias!!!",Todo bien
2019-04-20 17:19:22 UTC,2019-04-20 17:21:11 UTC,completed,android,Chrome 67.0.3396.87,0f40d960-442f-11e8-8512-277d35dd1283,3M,MX,email,crm,LAT_MX_SRV_ALL_ALL_EML_GFB-SurveyYearlyCheck Version 2,Publicidad exterior,10,10,5,3,5,2,5,5,3,5,NA,5,5,,,Programas de fidelización y de gestión de las relaciones con los clientes,,,,,,,Ninguna,Ninguna
2019-04-20 17:19:47 UTC,2019-04-20 17:21:55 UTC,completed,ios,Safari 12.1,8fb362a0-44a9-11e8-9d9b-4aad2f9029b4,3M,MX,email,crm,LAT_MX_SRV_ALL_ALL_EML_GFB-SurveyYearlyCheck Version 2,Alguien me lo recomendó,9,9,5,5,4,3,2,5,4,4,3,4,4,,,,,,,,Herramientas de contabilidad,,X,Quizá juntarlo con un paquete para facturar
2019-04-21 00:29:00 UTC,2019-04-21 00:35:47 UTC,completed,ios,Safari 12.1,b1b7bef0-44c7-11e8-b3a3-2277373b69bf,3M,MX,email,crm,LAT_MX_SRV_ALL_ALL_EML_GFB-SurveyYearlyCheck Version 2,Alguien me lo recomendó,9,9,5,4,5,3,3,4,3,5,4,5,4,"Complementos para cajas registradoras (por ejemplo, impresora de recibos, lector de códigos de barras, etc.)",Sistema de punto de venta,Programas de fidelización y de gestión de las relaciones con los clientes,Herramientas para gestionar el inventario,,,,,,Nada,D
