Started At,Completed At,Completion Status,Device Type,Browser,Organization Uuid,Segment,Organizationscountry,Utm Medium,Utm Source,Utm Campaign,1. 1. Hoe ben je in aanraking gekomen met iZettle?,2. 2. Hoe tevreden ben je over het algemeen met iZettle op een schaal van 1 tot 10?,3. 3. Hoe waarschijnlijk is het dat u iZettle zou aanbevelen aan een vriend of collega?,4.1. 4. Geef aan op een schaal van 1 tot 5 hoe tevreden je bent met: Verkooprapportages,4.2. 4. Geef aan op een schaal van 1 tot 5 hoe tevreden je bent met: Klantenondersteuning,4.3. 4. Geef aan op een schaal van 1 tot 5 hoe tevreden je bent met: Stortingen,4.4. 4. Geef aan op een schaal van 1 tot 5 hoe tevreden je bent met: Het totale bedrag die je per kaartbetaling kunt accepteren,4.5. 4. Geef aan op een schaal van 1 tot 5 hoe tevreden je bent met: Accepteren van betalingen,"4.6. 4. Geef aan op een schaal van 1 tot 5 hoe tevreden je bent met: Compatibiliteit met accessoires (b.v. met printers, houders, barcode scanners, etc.)",4.7. 4. Geef aan op een schaal van 1 tot 5 hoe tevreden je bent met: Kaartlezer,4.8. 4. Geef aan op een schaal van 1 tot 5 hoe tevreden je bent met: Het aanbieden van bonnen aan je klanten,4.9. 4. Geef aan op een schaal van 1 tot 5 hoe tevreden je bent met: Je account op my.izettle.com,4.10. 4. Geef aan op een schaal van 1 tot 5 hoe tevreden je bent met: Transactietoeslagen,"4.11. 4. Geef aan op een schaal van 1 tot 5 hoe tevreden je bent met: Onze communicatie (over b.v. over nieuwe functies, tips, account updates, etc.)","5. 5. Van welke van de volgende producten, diensten of oplossingen weet je, of denk je, dat iZettle ze kan aanbieden aan kleine bedrijven?",,,,,,,,,,,6. 6. We zijn altijd op zoek naar manieren om te groeien en de service voor onze klanten te kunnen verbeteren. Geef alsjeblieft aan (en zo ja wat) of er specifiek iets is waar je ontevreden over bent: ,7. 7. We zijn altijd op zoek naar manieren om te groeien en de service voor onze klanten te kunnen verbeteren. Geef alsjeblieft aan (en zo ja wat) of je een bepaalde functie mist in onze dienst:
,,,,,,,,,,,,,,,,,,,,,,,,,Tools om verkopen te volgen en te analyseren,Tools voor boekhouding,Tools voor personeelsbeheer,Tools voor inventarisbeheer,Kaartlezer,Point-of-sale-systeem,Loyaliteits/CRM-add-on,"Kassa-randproducten (bijvoorbeeld een kassabonprinter, barcode-lezer, etc.)", Zakelijke financiering,Geen van het bovengenoemde,None of the above (Deleted),,
2019-04-18 15:51:16 UTC,2019-04-18 15:54:35 UTC,completed,android,Chrome 67.0.3396.87,7e634500-435b-11e8-af78-d5ba8a2132fa,3M,NL,email,crm,EU_NL_SRV_ALL_ALL_EML_GFB-SurveyYearlyCheck Version 2,Zoekmachine/zoekopdracht (Google),10,10,5,5,5,5,5,5,5,5,5,3,5,,,,,,,,, Zakelijke financiering,,,Is ok,Niks
2019-04-18 21:16:32 UTC,2019-04-18 21:22:03 UTC,completed,windows,Firefox 66.0,e1a46e20-4304-11e8-b2f9-0ca48a3f512b,3M,NL,email,crm,EU_NL_SRV_ALL_ALL_EML_GFB-SurveyYearlyCheck Version 2,Social media,8,8,5,NA,5,NA,4,NA,4,NA,5,3,4,Tools om verkopen te volgen en te analyseren,Tools voor boekhouding,,,Kaartlezer,Point-of-sale-systeem,,"Kassa-randproducten (bijvoorbeeld een kassabonprinter, barcode-lezer, etc.)",,,,"niet ontevreden maar ik zou het zelf heel fijn vinden als er een hele goedkope bonnenprinter bij zou zijn, zoals sommige pinapparaten standaard hebben. het kan prima zonder maar een goedkope oplossing zou ik zeker aanschaffen",zie 6
2019-04-19 15:27:26 UTC,2019-04-19 15:29:52 UTC,completed,ios,Safari 12.1,c652bea0-43a0-11e8-93c2-a09b72dfa817,3M,NL,email,crm,EU_NL_SRV_ALL_ALL_EML_GFB-SurveyYearlyCheck Version 2,Social media,8,8,5,5,5,5,5,5,5,5,5,5,5,,Tools voor boekhouding,,,,,,,,,,Gewoon tevreden,Tevreden
2019-04-19 17:40:17 UTC,2019-04-19 17:48:09 UTC,completed,ios,Safari 12.1,fc42a7a0-43d2-11e8-b4b2-2b13e09ea6d6,3M,NL,email,crm,EU_NL_SRV_ALL_ALL_EML_GFB-SurveyYearlyCheck Version 2, iZettle werd mij door iemand aanbevolen,10,10,5,NA,5,4,5,5,5,5,5,3,5,,Tools voor boekhouding,,,,,,,,,,Op alles,Mist niks zo doorgaan
2019-04-19 18:00:50 UTC,2019-04-19 18:02:14 UTC,completed,ios,Safari 12.1,cd1d0d90-4417-11e8-bb9f-cac232758f5b,3M,NL,email,crm,EU_NL_SRV_ALL_ALL_EML_GFB-SurveyYearlyCheck Version 2,Online advertenties,7,7,4,4,4,4,4,4,4,4,4,4,4,,,,,,,,,,Geen van het bovengenoemde,,Traagheid,Geen
2019-04-19 18:43:21 UTC,2019-04-19 18:47:50 UTC,completed,ios,Safari 12.1,6fd1213c-1c37-11e9-ae4c-a21bfe3d72b2,3M,NL,email,crm,EU_NL_SRV_ALL_ALL_EML_GFB-Survey3MonthsCheck Version 2,Zoekmachine/zoekopdracht (Google),8,8,4,NA,4,4,4,5,5,4,NA,3,4,,Tools voor boekhouding,Tools voor personeelsbeheer,,Kaartlezer,,,,,,,"Het systeem doet wat het moet doen, dus ga zo door!","Ook hierbij, ga zo door. Ik ben een tevreden gebruiker."
2019-04-20 15:20:44 UTC,2019-04-20 15:23:58 UTC,completed,windows,Chrome 73.0.3683.103,eebbcd00-44b3-11e8-be89-f6c2c7216bbe,3M,NL,email,crm,EU_NL_SRV_ALL_ALL_EML_GFB-SurveyYearlyCheck Version 2, iZettle werd mij door iemand aanbevolen,8,8,4,3,4,4,4,4,4,2,3,3,3,Tools om verkopen te volgen en te analyseren,Tools voor boekhouding,,Tools voor inventarisbeheer,Kaartlezer,Point-of-sale-systeem,Loyaliteits/CRM-add-on,"Kassa-randproducten (bijvoorbeeld een kassabonprinter, barcode-lezer, etc.)", Zakelijke financiering,,,Het kunnen sorteren/filteren van producten op categorie of andere kenmerken. Ook een betere manier om meerdere producten sneller te kunnen plaatsen in een folder of categorie.,..
2019-04-20 20:16:51 UTC,2019-04-20 20:18:40 UTC,completed,windows,Chrome 73.0.3683.103,cc9da5f0-447b-11e8-9a07-83bd9cf19024,3M,NL,email,crm,EU_NL_SRV_ALL_ALL_EML_GFB-SurveyYearlyCheck Version 2,Social media,7,8,4,4,5,5,5,5,5,5,5,5,5,,Tools voor boekhouding,,,,,,,,,,nvt,nvt
2019-04-21 07:55:24 UTC,2019-04-21 08:00:09 UTC,completed,android,Chrome 67.0.3396.87,58bbe390-4449-11e8-affb-35f64385d0fc,3M,NL,email,crm,EU_NL_SRV_ALL_ALL_EML_GFB-SurveyYearlyCheck Version 2, iZettle werd mij door iemand aanbevolen,8,9,NA,5,5,3,5,NA,4,NA,3,4,5,,,,,Kaartlezer,,,"Kassa-randproducten (bijvoorbeeld een kassabonprinter, barcode-lezer, etc.)",,,,Lange wachttijd bij telefonische vraag.,Een tool voor voorraadbeheer.
