Started At,Completed At,Completion Status,Device Type,Browser,Organization Uuid,Segment,Organizationscountry,Utm Medium,Utm Source,Utm Campaign,1. 1. Hvor hørte du om iZettle?,"2. 2. Generelt, hvor fornøyd er du med iZettle, på en skala fra 1 til 10?",3. 3. Hvor sannsynlig er det at du vil anbefale iZettle til en venn eller kollega?,"4.1. 4. På en skala fra 1 til 5, angi hvor fornøyd du er med: Kontoen din på my.iZettle.com","4.2. 4. På en skala fra 1 til 5, angi hvor fornøyd du er med: Kortleseren","4.3. 4. På en skala fra 1 til 5, angi hvor fornøyd du er med: Hvordan du kan ta betalt","4.4. 4. På en skala fra 1 til 5, angi hvor fornøyd du er med: Totalbeløpet du kan godta per kortbetaling","4.5. 4. På en skala fra 1 til 5, angi hvor fornøyd du er med: Innskuddsordningen","4.6. 4. På en skala fra 1 til 5, angi hvor fornøyd du er med: Hvordan du kan tilby kundene kvittering
","4.7. 4. På en skala fra 1 til 5, angi hvor fornøyd du er med: Transaksjonsgebyrene","4.8. 4. På en skala fra 1 til 5, angi hvor fornøyd du er med: Kommunikasjonen (f.eks. meldinger om nye versjoner, tips og triks, Kontooppdateringer)","4.9. 4. På en skala fra 1 til 5, angi hvor fornøyd du er med: Kompatibiliteten med tilbehør (f.eks. skrivere, stativer, strekkodeskannere osv.)","4.10. 4. På en skala fra 1 til 5, angi hvor fornøyd du er med: Kundestøtten","4.11. 4. På en skala fra 1 til 5, angi hvor fornøyd du er med: Salgsrapportene","5. 5. Hvilke av følgende produkter, tjenester eller løsninger kjenner du til at, eller tror du at iZettle kan tilby små bedrifter?",,,,,,,,,,,6. 6. Vi søker alltid å øke og forbedre servicen vi yter overfor kundene våre. Forklar nedenfor hvis det er noe du er spesielt misfornøyd med:,7. 7. Vi søker alltid å øke og forbedre servicen vi yter overfor kundene våre. Forklar nedenfor hvis det er noe funksjonalitet i tjenesten vår du savner i dag:
,,,,,,,,,,,,,,,,,,,,,,,,,"Tilbehør til kassasystem (f.eks. kvitteringsskriver, strekkodeleser osv.)", Kassasystem,Verktøy til styring av varebeholdning,Tilbehør til lojalitet/CRM,Bedriftsfinansiering,Fakturaprogram,Bokføringsverktøy,Kortleser, Verktøy til styring av medarbeidere,Verktøy til å spore og analysere salget med,Ingen av de ovenstående,,
2019-04-20 09:17:09 UTC,2019-04-20 09:20:39 UTC,completed,ios,Safari 12.1,069a0098-1c1a-11e9-848e-34d30d268e3f,3M,NO,email,crm,EU_NO_SRV_ALL_ALL_EML_GFB-Survey3MonthsCheck Version 2,Noen anbefalte meg iZettle,9,9,4,5,5,5,NA,5,2,1,NA,1,2,, Kassasystem,,,,,,Kortleser,,,,I am interested in ecommerce and the man who called me called at an inconvenient time. He promised to call the next day and he never did.,O
2019-04-21 19:42:43 UTC,2019-04-21 19:45:28 UTC,completed,ios,Safari 11.0,440ce386-1da6-11e9-92d5-8a40f507057a,3M,NO,email,crm,EU_NO_SRV_ALL_ALL_EML_GFB-Survey3MonthsCheck Version 2,Sosiale medier,9,10,5,5,5,5,NA,5,3,5,5,5,5,"Tilbehør til kassasystem (f.eks. kvitteringsskriver, strekkodeleser osv.)", Kassasystem,Verktøy til styring av varebeholdning,Tilbehør til lojalitet/CRM,Bedriftsfinansiering,Fakturaprogram,Bokføringsverktøy,Kortleser, Verktøy til styring av medarbeidere,Verktøy til å spore og analysere salget med,,Litt dyrt å bruke,?
2019-04-22 09:02:37 UTC,2019-04-22 09:08:41 UTC,completed,android,Chrome 67.0.3396.87,c038891c-1caf-11e9-899a-ef7907649170,3M,NO,email,crm,EU_NO_SRV_ALL_ALL_EML_GFB-Survey3MonthsCheck Version 2,Noen anbefalte meg iZettle,8,7,5,4,4,4,NA,4,1,4,4,4,4,"Tilbehør til kassasystem (f.eks. kvitteringsskriver, strekkodeleser osv.)", Kassasystem,,,,,,Kortleser,,,,Prosent andelen pr. transakjon er veldig høy.,Vet ikke har hatt den for kort tid
2019-04-23 07:34:46 UTC,2019-04-23 07:37:13 UTC,completed,windows,Chrome 73.0.3683.75,01c61786-1c3e-11e9-a241-2f81689f76d2,3M,NO,email,crm,EU_NO_SRV_ALL_ALL_EML_GFB-Survey3MonthsCheck Version 2,Sosiale medier,8,9,4,4,5,NA,NA,NA,4,NA,NA,NA,5,"Tilbehør til kassasystem (f.eks. kvitteringsskriver, strekkodeleser osv.)", Kassasystem,,,,,,Kortleser,,,,Det bør fremkomme i en tidlig fase at man er avhengig av en ipad/iphone for å kunne benytte kortleseren.,
2019-04-23 15:39:53 UTC,2019-04-23 15:41:54 UTC,completed,android,Chrome 67.0.3396.87,cd2fbfb0-46df-11e8-be8b-dbc8b6403639,3M,NO,email,crm,EU_NO_SRV_ALL_ALL_EML_GFB-SurveyYearlyCheck Version 2,Sosiale medier,10,10,5,5,5,5,5,5,4,5,4,5,5,"Tilbehør til kassasystem (f.eks. kvitteringsskriver, strekkodeleser osv.)", Kassasystem,Verktøy til styring av varebeholdning,,,Fakturaprogram,,Kortleser,,Verktøy til å spore og analysere salget med,,Alt i alt veldig fornøyd!,:-)
2019-04-23 16:07:11 UTC,2019-04-23 16:11:42 UTC,completed,android,Chrome 67.0.3396.87,c9c06e40-46fa-11e8-9e5a-30269f20a20f,3M,NO,email,crm,EU_NO_SRV_ALL_ALL_EML_GFB-SurveyYearlyCheck Version 2,Jeg betalte for noe med iZettle eller så noen andre gjøre det,6,6,4,2,5,5,3,4,1,4,3,3,4,"Tilbehør til kassasystem (f.eks. kvitteringsskriver, strekkodeleser osv.)", Kassasystem,,,,,Bokføringsverktøy,Kortleser,,Verktøy til å spore og analysere salget med,,Batteriet på kortleseren har egentlig aldri virket noe særlig. Må bruke powerbank på den..,Ikke noe
2019-04-23 17:12:54 UTC,2019-04-23 17:17:05 UTC,completed,ios,Safari 12.0,c1854810-46c1-11e8-b891-1c9f7aa7a045,3M,NO,email,crm,EU_NO_SRV_ALL_ALL_EML_GFB-SurveyYearlyCheck Version 2,Internett-søk (Google),7,7,4,4,4,4,NA,5,2,3,NA,NA,4,"Tilbehør til kassasystem (f.eks. kvitteringsskriver, strekkodeleser osv.)", Kassasystem,Verktøy til styring av varebeholdning,Tilbehør til lojalitet/CRM,Bedriftsfinansiering,Fakturaprogram,,Kortleser,,,,For høye gebyrer på store beløp,Nei
2019-04-24 16:23:30 UTC,2019-04-24 16:26:51 UTC,completed,android,Chrome 73.0.3683.90,127e3880-47fd-11e8-ad48-aab199662fd9,3M,NO,email,crm,EU_NO_SRV_ALL_ALL_EML_GFB-SurveyYearlyCheck Version 2,Internett-søk (Google),4,5,3,5,5,5,NA,NA,1,NA,NA,1,4,"Tilbehør til kassasystem (f.eks. kvitteringsskriver, strekkodeleser osv.)", Kassasystem,,,,,,Kortleser,,Verktøy til å spore og analysere salget med,,Jeg er misfornøyd med prosentsats. Jeg har en såpass høy omsetning at det burde bli mindre jo mer jeg omsetter for. Det bør lønne seg versus å gå over til betalingsterminal.,.
2019-04-24 18:28:06 UTC,2019-04-24 18:32:33 UTC,completed,ios,Safari 12.1,620509ee-1fff-11e9-bfb1-140cd89601d9,3M,NO,email,crm,EU_NO_SRV_ALL_ALL_EML_GFB-Survey3MonthsCheck Version 2,Fra bruten mine,10,10,5,5,5,5,3,5,2,5,5,5,5,,,,,,Fakturaprogram,,,,,,👍,👍
