Started At,Completed At,Completion Status,Device Type,Browser,Organization Uuid,Segment,Organizationscountry,Utm Medium,Utm Source,Utm Campaign,1. 1. Hur fick du reda på information om iZettle?,"2. 2. Hur nöjd är du i helhet med iZettle, på en skala 1 till 10?",3. 3. Hur sannolikt är det att du skulle rekommendera iZettle till en vän eller kollega?,"4.1. 4. Ange på en skala från 1 till 5, hur nöjd du är med: Vår kommunikation (t.ex. om nya funktioner, tips och trick, kontouppdateringar)","4.2. 4. Ange på en skala från 1 till 5, hur nöjd du är med: Utbetalningar","4.3. 4. Ange på en skala från 1 till 5, hur nöjd du är med: Kortläsare","4.4. 4. Ange på en skala från 1 till 5, hur nöjd du är med: Att ta betalt","4.5. 4. Ange på en skala från 1 till 5, hur nöjd du är med: Att erbjuda kunder kvitton","4.6. 4. Ange på en skala från 1 till 5, hur nöjd du är med: Kompatibilitet med tillbehör (t.ex. skrivare, ställ, streckkodsläsare osv.)

","4.7. 4. Ange på en skala från 1 till 5, hur nöjd du är med: Kundsupport","4.8. 4. Ange på en skala från 1 till 5, hur nöjd du är med: Det totala beloppet du kan acceptera per kortbetalning","4.9. 4. Ange på en skala från 1 till 5, hur nöjd du är med: Transaktionsavgifter","4.10. 4. Ange på en skala från 1 till 5, hur nöjd du är med: Ditt konto på my.izettle.com","4.11. 4. Ange på en skala från 1 till 5, hur nöjd du är med: Försäljningsrapporter",5. 5. Vilka av följande produkter/tjänster/lösningar tror eller vet du att iZettle kan erbjuda småföretag?,,,,,,,,,,,6. 6. Vi vill alltid utvecklas och förbättra tjänsten för våra kunder. Ange nedan om det finns något du är missnöjd med:,7. 7. Vi vill alltid utvecklas och förbättra tjänsten för våra kunder. Ange nedan om det är någon funktion som du saknar idag:
,,,,,,,,,,,,,,,,,,,,,,,,,Kortläsare,Kassasystem/Point-of-sale system,Lagerhanteringverktyg,Företagsfinansiering,Medarbetarhanteringsverktyg,Kassaregister/Kassatillbehör,Analyseringsverktyg,Bokföringsverktyg/Bokföringstjänst,Kundlojalitetsverktyg (CRM),Faktura,Inget av ovanstående alternativ,,
2019-04-18 15:51:25 UTC,2019-04-18 15:53:34 UTC,completed,android,Chrome 67.0.3396.87,774c0b90-4305-11e8-94b9-91a6bfa0e624,3M,SE,email,crm,EU_SE_SRV_ALL_ALL_EML_GFB-SurveyYearlyCheck Version 2,Sociala medier,6,8,4,5,4,4,5,4,4,4,3,4,4,Kortläsare,,Lagerhanteringverktyg,Företagsfinansiering,,Kassaregister/Kassatillbehör,,Bokföringsverktyg/Bokföringstjänst,,Faktura,,Vet inte riktigt,Vet inte
2019-04-19 19:13:14 UTC,2019-04-19 19:15:21 UTC,completed,ios,Safari 12.1,6951ddf8-1c17-11e9-98a3-753c6aaea30f,3M,SE,email,crm,EU_SE_SRV_ALL_ALL_EML_GFB-Survey3MonthsCheck Version 2,Via internet (Google),10,10,4,5,5,5,5,NA,NA,NA,4,5,5,Kortläsare,Kassasystem/Point-of-sale system,,,,Kassaregister/Kassatillbehör,,Bokföringsverktyg/Bokföringstjänst,,Faktura,,Inget,Inger
2019-04-20 06:40:36 UTC,2019-04-20 06:43:38 UTC,completed,ios,Safari 12.1,152df950-4396-11e8-83db-b193faba39e7,3M,SE,email,crm,EU_SE_SRV_ALL_ALL_EML_GFB-SurveyYearlyCheck Version 2,Sociala medier,10,10,4,5,5,5,3,3,5,5,5,5,5,,,,,,,,,,Faktura,,,Vet ej
2019-04-21 18:23:40 UTC,2019-04-21 18:26:45 UTC,completed,android,Chrome 63.0.3239.111,e23d5472-1d61-11e9-90eb-cc0de9f398a5,3M,SE,email,crm,EU_SE_SRV_ALL_ALL_EML_GFB-Survey3MonthsCheck Version 2,Genom rekommendationer från någon,10,10,5,5,5,5,5,5,5,5,5,5,5,Kortläsare,Kassasystem/Point-of-sale system,Lagerhanteringverktyg,Företagsfinansiering,,Kassaregister/Kassatillbehör,,Bokföringsverktyg/Bokföringstjänst,,Faktura,,Nöjd med allt hittills,Nej
2019-04-23 07:15:35 UTC,2019-04-23 07:20:09 UTC,completed,windows,Microsoft Edge 18.17763,ab532530-4649-11e8-baea-f2ce9590cd15,3M,SE,email,crm,EU_SE_SRV_ALL_ALL_EML_GFB-SurveyYearlyCheck Version 2,Genom rekommendationer från någon,10,10,3,5,4,5,5,NA,3,5,3,NA,5,Kortläsare,Kassasystem/Point-of-sale system,,,,Kassaregister/Kassatillbehör,,,,Faktura,,inte i dagsläget,vet ej
2019-04-23 18:36:06 UTC,2019-04-23 18:40:26 UTC,completed,android,Chrome 63.0.3239.111,59dce150-4725-11e8-89d6-4cf518242f58,3M,SE,email,crm,EU_SE_SRV_ALL_ALL_EML_GFB-SurveyYearlyCheck Version 2,Genom rekommendationer från någon,8,9,5,5,5,5,5,4,5,5,3,5,5,Kortläsare,Kassasystem/Point-of-sale system,,,,Kassaregister/Kassatillbehör,,,,Faktura,,Jag är missnöjd med att den iPad jag använder plötsligt är för gammal för att funka med izettle och jag tvingas att köpa en ny,Nej
2019-04-23 20:58:49 UTC,2019-04-23 21:01:12 UTC,completed,ios,Safari 12.0,30619baa-1f28-11e9-91fc-b28a17bcdfb2,3M,SE,email,crm,EU_SE_SRV_ALL_ALL_EML_GFB-Survey3MonthsCheck Version 2,Genom rekommendationer från någon,7,7,3,4,4,4,1,3,4,NA,1,3,3,Kortläsare,Kassasystem/Point-of-sale system,Lagerhanteringverktyg,Företagsfinansiering,Medarbetarhanteringsverktyg,Kassaregister/Kassatillbehör,Analyseringsverktyg,Bokföringsverktyg/Bokföringstjänst,Kundlojalitetsverktyg (CRM),Faktura,,Tycker transaktionsavgifterna är för höga,'-
2019-04-24 12:11:51 UTC,2019-04-24 12:14:22 UTC,completed,windows,Chrome 73.0.3683.103,0b74bd3a-1d58-11e9-aab5-48eadd17c71b,3M,SE,email,crm,EU_SE_SRV_ALL_ALL_EML_GFB-Survey3MonthsCheck Version 2,Genom rekommendationer från någon,10,10,5,5,5,5,5,5,5,5,3,5,5,Kortläsare,Kassasystem/Point-of-sale system,,,,Kassaregister/Kassatillbehör,,,,Faktura,,Avgifter,Nej
2019-04-24 18:02:38 UTC,2019-04-24 18:04:09 UTC,completed,ios,Safari 12.1,12112b40-46ff-11e8-8739-bce057cad8d0,3M,SE,email,crm,EU_SE_SRV_ALL_ALL_EML_GFB-SurveyYearlyCheck Version 2,Genom rekommendationer från någon,8,8,3,5,3,4,5,NA,5,NA,2,4,4,Kortläsare,Kassasystem/Point-of-sale system,,,,Kassaregister/Kassatillbehör,,Bokföringsverktyg/Bokföringstjänst,,Faktura,,Lite höga avgifter..0,
